Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u,C_Radial_D5.0mm_H11.0mm_P2.00mm,12.0,44.0,180.0,top
C2,100u,C_Radial_D5.0mm_H11.0mm_P2.00mm,4.0,37.5,180.0,top
C3,0.1u,C_0603_1608Metric,68.275,38.5,0.0,top
D1,D_Schottky,D_SMA,19.5,45.0,0.0,top
J1,Conn_01x02_Male,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,23.5,40.0,-90.0,top
J2,Conn_01x10_Male,JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal,41.25,7.95,0.0,top
J3,Conn_01x02_Male,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,54.5,41.5,180.0,top
J4,Conn_01x02_Male,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,45.05,41.5,180.0,top
J5,Conn_01x06_Male,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,22.25,7.95,0.0,top
J6,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,10.0,2.475,180.0,top
J7,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,13.5,2.475,180.0,top
J8,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,17.0,2.475,180.0,top
Q1,Q_NMOS_GSD,SOT-23,32.5,37.0,0.0,top
R1,330,R_0603_1608Metric,41.5,36.0,180.0,top
R2,10k,R_0603_1608Metric,37.0,36.0,0.0,top
SW1,SW_SPDT,2MS1-T1-B4-M2-Q-E-S,34.5,44.0,180.0,top
SW2,SW_Push,TactSwitch,63.5,41.0,90.0,top
U1,RaspberryPiPicoW,RaspberryPiPico,31.0,22.5,90.0,top
U2,AZ1084-5.0,TO-252-2,11.5,37.5,180.0,top
U3,SPT15,PKM13EPYH4000-A0,17.0,22.5,180.0,top
